STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,,Exp 2: Combined Map,,Visual,,,Symbolic,Alphanumeric,Captured,Characterized,2/3,Exocentric,,,Persistent,Direction,Position,Proximity,,,Go,,Single,Integrated,Navigation,The improved map displayed with focus and context techniques showed superior performance in spatial knowledge acquisition and wayfinding efficiency.,Task Completion Time & User Interaction,Balances real-time navigation with spatial layout awareness but can still be improved for detailed environmental understanding.,20,,,
,,Exp 3: Improved Map,,Visual,,,Symbolic,Alphanumeric,Captured,Characterized,2/3,Exocentric,,,Persistent,Direction,Position,Proximity,,,Go,,Single,Integrated,Navigation,The improved map displayed with focus and context techniques showed superior performance in spatial knowledge acquisition and wayfinding efficiency.,Task Completion Time & User Interaction,Best performance in providing a comprehensive understanding of the environment and efficient navigation.,30,,,
25 - Brendan,User Behavior Adaptive AR Guidance for Wayfinding and Tasks Completion,Blinking 3D Arrow,https://doi.org/10.3390/mti5110065,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,,,,Go,,Single,Integrated,Navigation with Distraction Tasks,The adaptive nature of the 3D arrow allowed it to be useful but highlighted that timing and accuracy of its appearance/disappearance are crucial to avoid user confusion or reliance.,Task Completion Time & Perceived Comfort,"While the adaptive guidance aimed to minimize distractions during task performance, it required fine-tuning to ensure it appeared at the most beneficial times without causing delays or dependence.",28,This was the only cue utilized by the timing of when it appeared could still be beneficial,,
26 - Brendan,The Impact of Navigation Aids on Search Performance and Object Recall in Wide-Area Augmented Reality,Arrow,https://doi.org/10.1145/3544548.3581413,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Go,,Single,Integrated,Locate Gems and Report Characteristics,In-world arrows had the strongest user preference and significant performance benefits in terms of search efficiency and ease of navigation.,"Task Completion Time, Head Rotation, Walking Speed, Gaze Density, & Recall Accuracy","Most effective in guiding users directly to targets, preferred due to intuitive use and direct guidance.",24,,,
,,Radar,,Visual,,,Symbolic,Alphanumeric,,,2,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Go,,Single,Overlaid,Locate Gems and Report Characteristics,In-world arrows had the strongest user preference and significant performance benefits in terms of search efficiency and ease of navigation.,"Task Completion Time, Head Rotation, Walking Speed, Gaze Density, & Recall Accuracy",Provided a good overview of the location but was less intuitive for direct navigation tasks.,24,,,
,,Compass,,Visual,,,Symbolic,Alphanumeric,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,Proximity,Transition,,Go,,Single,Overlaid,Locate Gems and Report Characteristics,In-world arrows had the strongest user preference and significant performance benefits in terms of search efficiency and ease of navigation.,"Task Completion Time, Head Rotation, Walking Speed, Gaze Density, & Recall Accuracy","Useful for indicating direction and distance, but less intuitive than arrows.",24,,,
27 - Brendan,PanoCue: An Efficient Visual Cue with a Omnidirectional Panoramic View for Finding a Target in 3D Space,PanoCue,https://doi.org/10.1109/ISMAR-Adjunct54149.2021.00052,Visual,,,Symbolic,Captured,,,2,Headcentric - Egocentric,,,Persistent,Direction,Position,Proximity,Transition,,Select,,Single,Overlaid,Locate Spheres/Targets and Press Trigger when Found,"PanoCue had the shortest travel distance compared to other cues and received the highest subjective ratings in terms of easiness, fatigue, and satisfaction.","Task Completion Time, Subjective Response, & Travel Distance","PanoCue provided the shortest travel distance and highest subjective ratings in easiness and satisfaction, with low fatigue.",20,,,
,,Radar,,Visual,,,Symbolic,,,,2,Bodycentric - Egocentric,Exocentric,,Persistent,Direction,Position,Proximity,Transition,,Select,,Single,Overlaid,Locate Spheres/Targets and Press Trigger when Found,"PanoCue had the shortest travel distance compared to other cues and received the highest subjective ratings in terms of easiness, fatigue, and satisfaction.","Task Completion Time, Subjective Response, & Travel Distance","Radar had longer task completion time and travel distance compared to PanoCue and Arrow, with moderate subjective ratings in easiness and satisfaction.",20,,,
,,Arrow,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,Proximity,,,Select,,Single,Overlaid,Locate Spheres/Targets and Press Trigger when Found,"PanoCue had the shortest travel distance compared to other cues and received the highest subjective ratings in terms of easiness, fatigue, and satisfaction.","Task Completion Time, Subjective Response, & Travel Distance","Arrow offered comparable task completion time to PanoCue, with slightly longer travel distance and high subjective ratings in easiness and satisfaction.",20,,,
31 - Brendan,Getting out of Out of Sight: Evaluation of AR Mechanisms for Awareness and Orientation Support in Occluded Multi-Room Settings,Map,https://doi.org/10.1145/3313831.3376742,Visual,,,Characterized,,,,2,Exocentric,Bodycentric - Egocentric,,Persistent,,Position,,,,Discover,,Single,Overlaid,Navigation in VR for Object Location,"X-Ray Filter + Map: This combination was preferred far more for searching both people and objects, suggesting it had the strongest response among participants.","Perceived Utility, Perceived Usability, Social Presence, Task Load, & User Preferences",Highly preferred for searching both people and objects. Familiar and easy to use. Provided a good balance of elements in the user’s field of view.,48,,,
,,X-Ray Filter,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Discover,,Multiple,Emphasized,Navigation in VR for Object Location,"X-Ray Filter + Map: This combination was preferred far more for searching both people and objects, suggesting it had the strongest response among participants.","Perceived Utility, Perceived Usability, Social Presence, Task Load, & User Preferences",Preferred for searching people but less so for objects. Provided continuous visibility of objects and group members. Perceived as having too many elements for searching people and too few for objects.,48,,,
,,Compass,,Visual,,,Symbolic,,,,2,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,,,,,Discover,,Single,Overlaid,Navigation in VR for Object Location,"X-Ray Filter + Map: This combination was preferred far more for searching both people and objects, suggesting it had the strongest response among participants.","Perceived Utility, Perceived Usability, Social Presence, Task Load, & User Preferences","Least preferred when searching for people or objects. Provides only relative direction, not absolute position. Rated lower in usability and higher in frustration.",48,,,
32 - Brendan,Virtual Reality Without Vision: A Haptic and Auditory White Cane to Navigate Complex Virtual Worlds,White Cane,https://doi.org/10.1145/3313831.3376353,Auditory,Tactile,,Characterized,Replica,,,3,Exocentric,Proprioceptive - Egocentric,,Context,Direction,Position,Proximity,,,Go,,Single,Integrated,Legally Blind VR Usage,"Participants using metal-tipped canes had the strongest response, as they found the vibrations and audio feedback to be very realistic and similar to real-world experiences.","Task Completion Time, Number of Targets Found, & Number of Collisions with Walls/Hazards",Haptic Feedback: Helped users understand surface properties and avoid obstacles. Metal tip users found it more realistic. Audio Feedback: Provided crucial spatial information and enhanced immersion. Helped users locate targets and navigate the environment. Force Feedback: Aided in understanding the shape of objects and detecting barriers. Users could tell where not to walk based on resistance felt.,8,,,
33 - Brendan,A Comparison of Visual Attention Guiding Approaches for 360 Image-Based VR Tours,Arrow,https://doi.org/10.1109/VR46266.2020.00026,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,,,Look,,Single,Overlaid,Educational VR tours,"The Arrow mechanism was identified as the most generally accepted and favored approach by participants, indicating it had the strongest response.",Task Completion Time & User Experience,"Simplest and most intuitive, easy to use. Provided a clear and direct way to find the target. Least distracting and most aesthetically pleasing. Highly preferred for future use.",33,,,
,,Butterfly Guide,,Visual,,,Characterized,,,,3,Exocentric,,,Persistent,Direction,Position,,,,Look,,Single,Integrated,Educational VR tours,"The Arrow mechanism was identified as the most generally accepted and favored approach by participants, indicating it had the strongest response.",Task Completion Time & User Experience,"Mixed reactions: Some found it aesthetically pleasing and friendly, while others found it childish and distracting. Suggestions for improvements included making it smaller and slower to reduce distraction.",33,,,
,,Radar,,Visual,,,Symbolic,,,,2,Exocentric,Bodycentric - Egocentric,,Persistent,,Position,Proximity,,,Look,,Single,Overlaid,Educational VR tours,"The Arrow mechanism was identified as the most generally accepted and favored approach by participants, indicating it had the strongest response.",Task Completion Time & User Experience,"Also received mixed reactions: Some appreciated the detailed information, while others found it complex and confusing. Considered more intrusive due to its large size and placement. Could benefit from training to better exploit its detailed information.",33,,,
34 - Brendan,Designing AR Visualizations to Facilitate Stair Navigation for People with Low Vision,Glow,https://doi.org/10.1145/3332165.3347906,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,,,Persistent,,Position,,,,Go,,Multiple,Overlaid,Stair navigation for PLV,"Projection-Based AR: The stable thick yellow end highlights received the strongest positive response, with most participants preferring this design for its clarity and effectiveness. Smartglasses: The Glow visualization, especially when combined with Beep sonification, had the strongest response, preferred by the majority of participants for its unobtrusiveness and helpfulness.","Walking Time, Self-Reported Psychological Security, Usefulness and Comfort Level Ratings, Behavioral Observations, & Qualitative Feedback",Enhanced users' confidence without requiring them to look down; effective across different stair stages.,12,,,
,,Path,,Visual,,,Symbolic,,,,3,Station Point - Egocentric,Exocentric,,Persistent,Direction,,Proximity,,Movement,Go,,Single,Integrated,Stair navigation for PLV,"Projection-Based AR: The stable thick yellow end highlights received the strongest positive response, with most participants preferring this design for its clarity and effectiveness. Smartglasses: The Glow visualization, especially when combined with Beep sonification, had the strongest response, preferred by the majority of participants for its unobtrusiveness and helpfulness.","Walking Time, Self-Reported Psychological Security, Usefulness and Comfort Level Ratings, Behavioral Observations, & Qualitative Feedback",Provided structural context but required personalization; potential for distraction if misaligned.,12,,,
,,Beep,,Auditory,,,Symbolic,Captured,,,,Headcentric - Egocentric,,,Context,,Position,Proximity,Transition,,Go,,Multiple,Integrated,Stair navigation for PLV,"Projection-Based AR: The stable thick yellow end highlights received the strongest positive response, with most participants preferring this design for its clarity and effectiveness. Smartglasses: The Glow visualization, especially when combined with Beep sonification, had the strongest response, preferred by the majority of participants for its unobtrusiveness and helpfulness.","Walking Time, Self-Reported Psychological Security, Usefulness and Comfort Level Ratings, Behavioral Observations, & Qualitative Feedback",Served as a valuable secondary cue; increased awareness of stair transitions.,12,,,
,,Edge Highlights (Study 1),,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,,Go,,Single,Emphasized,Stair navigation for PLV,"Projection-Based AR: The stable thick yellow end highlights received the strongest positive response, with most participants preferring this design for its clarity and effectiveness. Smartglasses: The Glow visualization, especially when combined with Beep sonification, had the strongest response, preferred by the majority of participants for its unobtrusiveness and helpfulness.","Walking Time, Self-Reported Psychological Security, Usefulness and Comfort Level Ratings, Behavioral Observations, & Qualitative Feedback",Improved visibility of critical steps; stable highlights were less distracting than animations.,12,,,
35 - Brendan,The Effectiveness of Visual and Audio Wayfinding Guidance on Smartglasses for People with Low Vision,Path,https://doi.org/10.1145/3313831.3376516,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,Position,,,Other,Go,,Single,Integrated,,,,,16,,,
,,Anchored Signs,,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,,Proximity,,,Go,,Multiple,Integrated,,,,,16,,,
,,Destination Star w/ Out of View Indicator,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Go,,Single,Integrated,,,,,16,,,
,,Audio Guidance,,Auditory,,,Captured,,,,,Exocentric,Bodycentric - Egocentric,,Context,Direction,,Proximity,,,Go,,Multiple,Integrated,,,,,16,,,
36 - Brendan,A review on communication cues for augmented reality based remote guidance,Cursor,https://doi.org/10.1007/s12193-022-00387-1,Visual,,,Symbolic,,,,2,Exocentric,,,User,,Position,,,Movement,Look,,Multiple,Overlaid,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,"The cursor was extensively used and rated favorably, although it did not show significant efficiency improvement over systems without it.",N/A,,,
,,Laser Pointer,,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,User,,Position,,,Movement,Look,,Single,Integrated,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,"The system provided independent view control for helpers, facilitating more efficient task completion in certain scenarios.",N/A,,,
,,Stick Mounted on a Robot,,Visual,,,Symbolic,,,,3,Exocentric,,,User,,Position,,,Movement,Look,,Single,Integrated,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,N/A,N/A,,,
,,Eye Gaze Pointer and Head Pointer,,Visual,,,Symbolic,,,,3,Exocentric,Retinocentric - Egocentric,Headcentric - Egocentric,User,Direction,,,,,Look,,Single,Subtle,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,"Eye gaze pointers, combined with verbal instructions, significantly improved task performance.",N/A,,,
,,Tracked Marker Annotations,,Visual,,,Symbolic,,,,2,Exocentric,,,User,Direction,Position,,,,Look,,Multiple,Integrated,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,"While preferred by users, the combination of tracking and labels did not significantly improve task performance.",N/A,,,
,,Draw on Video,,Visual,,,Captured,,,,2,Exocentric,,,Other Agent,,Position,,,,Look,,Single,Overlaid,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,Increased efficiency compared to verbal descriptions alone.,N/A,,,
,,Draw into Workspace,,Visual,,,Captured,,,,3,Exocentric,,,User,,Position,,,,Look,,Single,Integrated,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,N/A,N/A,,,
,,Tracked Drawing Annotations,,Visual,,,Captured,,,,3,Exocentric,,,User,,Position,,,Movement,Look,,Single,Integrated,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,N/A,N/A,,,
,,Video Feed of Hand Gestures,,Visual,,,Captured,,,,2,Exocentric,,,User,Direction,,,,,Look,,Single,Overlaid,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,"Found to be more effective than drawing for certain tasks, such as model building.",N/A,,,
,,Superimposed Hand Gesture,,Visual,,,Captured,,,,3,Exocentric,,,User,Direction,,,,,Look,,Single,Integrated,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,"Found to be more effective than drawing for certain tasks, such as model building.",N/A,,,
,,Object Models,,Visual,,,Captured,,,,3,Exocentric,,,Persistent,,Position,,,,Look,,Single,Subtle,"Remote Assistance, Industrial Maintenance","""In general hand gesturing systems have been found to be superior to many other gesturing techniques.""",N/A,N/A,N/A,,,
37 - Brendan,Event Related Brain Responses Reveal the Impact of Spatial Augmented Reality Predictive Cues on Mental Effort,ARC,https://doi.org/10.1109/TVCG.2022.3197810,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Procedural Task,"""Comparing the cognitive measurements of the predictive cues, LINE had the lowest self-assessed effort while ARC and ARROW had the lowest cognitive demand measured by the ERP results.""","Response Time, Errors, Self-Assessed Mental Effort, & EEG Data","Moderate effectiveness, fewer errors",23,,,
,,Arrow,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,,,,,Operate,,Single,Integrated,Procedural Task,"""Comparing the cognitive measurements of the predictive cues, LINE had the lowest self-assessed effort while ARC and ARROW had the lowest cognitive demand measured by the ERP results.""","Response Time, Errors, Self-Assessed Mental Effort, & EEG Data","Effective, fewer errors, lower cognitive load",23,,,
,,Blink ,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Procedural Task,"""Comparing the cognitive measurements of the predictive cues, LINE had the lowest self-assessed effort while ARC and ARROW had the lowest cognitive demand measured by the ERP results.""","Response Time, Errors, Self-Assessed Mental Effort, & EEG Data","Least effective, higher errors, higher cognitive load",23,,,
,,Color,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Procedural Task,"""Comparing the cognitive measurements of the predictive cues, LINE had the lowest self-assessed effort while ARC and ARROW had the lowest cognitive demand measured by the ERP results.""","Response Time, Errors, Self-Assessed Mental Effort, & EEG Data","Effective, faster response times, lower cognitive load",23,,,
,,Line,,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,,,,,Operate,,Single,Integrated,Procedural Task,"""Comparing the cognitive measurements of the predictive cues, LINE had the lowest self-assessed effort while ARC and ARROW had the lowest cognitive demand measured by the ERP results.""","Response Time, Errors, Self-Assessed Mental Effort, & EEG Data","Most effective, fastest response times, lowest errors, lowest cognitive load",23,,,
38 - Brendan,Attributes of Subtle Cues for Facilitating Visual Search in Augmented Reality,Exp A: Opacity of white sqaure (3 levels),https://doi.org/10.1109/TVCG.2013.241,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Overlaid,Video-see-through AR Visual Search,"""Showed the most significant improvement in search performance, balancing visibility and minimal disruption to the scene.""",Reaction Time & Error Rate,Subtle cues with an opacity level of 0.1 were effective in aiding visual search without significantly adding visual clutter.,27,,,
,,Exp B: Size of the cue (5 options),,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Overlaid,Video-see-through AR Visual Search,"""The results of Experiment B suggest that increasing cue size improves visual search performance (see Fig. 9), and there does not seem to be an optimum cue shape.""",Reaction Time & Error Rate,"Increasing the size of the subtle cue generally improved detection accuracy and speed, while the shape of the cue did not significantly influence performance.",26,,,
,,"Exp B: Shape (Square, circle, and triangle)",,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Overlaid,Video-see-through AR Visual Search,"""The results of Experiment B suggest that increasing cue size improves visual search performance (see Fig. 9), and there does not seem to be an optimum cue shape.""",Reaction Time & Error Rate,"Increasing the size of the subtle cue generally improved detection accuracy and speed, while the shape of the cue did not significantly influence performance.",26,,,
39 - Brendan,Depth cues in augmented reality for training of robot-assisted minimally invasive surgery,Shadow,,Visual,,,Replica,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Operate,,Single,Emphasized,Medical (Training in robot-assisted minimally invasive surgery),"Highlight Cue: It provided the most significant improvement in terms of user performance, particularly in terms of completion time and accuracy.","Completion Time, Errors, & Accuracy",Provided some depth information but was not significantly beneficial.,30,,,
,,Depth of Field,,Visual,,,Emphatic,,,,3,Retinocentric - Egocentric,,,Persistent,,,Proximity,,,Operate,,Single,Subtle,Medical (Training in robot-assisted minimally invasive surgery),"Highlight Cue: It provided the most significant improvement in terms of user performance, particularly in terms of completion time and accuracy.","Completion Time, Errors, & Accuracy",Often caused discomfort; not preferred by most participants.,30,,,
,,Transparency,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,,,,Other,Operate,,Single,Emphasized,Medical (Training in robot-assisted minimally invasive surgery),"Highlight Cue: It provided the most significant improvement in terms of user performance, particularly in terms of completion time and accuracy.","Completion Time, Errors, & Accuracy",Allowed users to see through objects but sometimes hindered depth perception.,30,,,
,,Parallax,https://doi.org/10.1145/3131085.3131123,Visual,,,Emphatic,,,,3,Retinocentric - Egocentric,,,Persistent,,,Proximity,,,Operate,,Single,Subtle,Medical (Training in robot-assisted minimally invasive surgery),"Highlight Cue: It provided the most significant improvement in terms of user performance, particularly in terms of completion time and accuracy.","Completion Time, Errors, & Accuracy","Had a slight negative impact on performance, possibly due to the added complexity.",30,,,
,,Highlight Cues,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Medical (Training in robot-assisted minimally invasive surgery),"Highlight Cue: It provided the most significant improvement in terms of user performance, particularly in terms of completion time and accuracy.","Completion Time, Errors, & Accuracy",Preferred for providing clear and intuitive feedback about tool proximity.,30,,,
40 - Brendan,Enhancing the driver awareness of pedestrian using augmented reality cues,Bounding Box,https://doi.org/10.1109/ITSC.2016.7795724,Visual,,,Emphatic,Symbolic,,,2,Exocentric,,,Context,,Position,Proximity,,,Look,,Single,Overlaid,Automotive (Pedestrian safety),"Bounding Box (Conformal Cue): This cue was preferred by participants and found effective in identifying the pedestrian's location without causing distraction, thereby enhancing the driver's awareness and response.","Visual Reaction Time, Head Vehicle Distance, Accelerator Pedal Position, & Urgent Braking","Enhanced visibility of pedestrians and helped drivers notice them sooner, improving reaction times without distraction.",25,,,
,,Warning Panel,,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,,,Context,,,Proximity,,,Look,,Single,Overlaid,Automotive (Pedestrian safety),"Bounding Box (Conformal Cue): This cue was preferred by participants and found effective in identifying the pedestrian's location without causing distraction, thereby enhancing the driver's awareness and response.","Visual Reaction Time, Head Vehicle Distance, Accelerator Pedal Position, & Urgent Braking",Provided clear warnings in critical situations but was less effective in terms of overall driver preference.,25,,,
41 - Brendan,Projection Grid Cues: An Efficient Way to Perceive the Depths of Underground Objects in Augmented Reality,Projection Display (PD),https://doi.org/10.1007/978-3-030-85623-6_35,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Visualization of underground networks,"Projection Grid Display (PGD): The PGD technique provided better precision in distance estimation, lower perceived mental workload, and enhanced spatial understanding compared to other methods.","NASA-TLX, Distance Difference, & Error dA and Error dE",Improved absolute distance estimation but less effective compared to PGD in reducing mental workload.,40,,,
,,Projection Grid Display (PGD),,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Visualization of underground networks,"Projection Grid Display (PGD): The PGD technique provided better precision in distance estimation, lower perceived mental workload, and enhanced spatial understanding compared to other methods.","NASA-TLX, Distance Difference, & Error dA and Error dE",Most effective in reducing mental workload and improving precision in distance estimation and relative positioning.,40,,,
,,Naive Display (ND),,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Emphasized,Visualization of underground networks,"Projection Grid Display (PGD): The PGD technique provided better precision in distance estimation, lower perceived mental workload, and enhanced spatial understanding compared to other methods.","NASA-TLX, Distance Difference, & Error dA and Error dE",Served as a baseline; less effective in all measures compared to other visualization techniques.,40,,,
,,Grid Display (GD),,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,,Position,Proximity,,,Manipulate,,Single,Integrated,Visualization of underground networks,"Projection Grid Display (PGD): The PGD technique provided better precision in distance estimation, lower perceived mental workload, and enhanced spatial understanding compared to other methods.","NASA-TLX, Distance Difference, & Error dA and Error dE",Provided a ground reference but was less effective in improving depth perception compared to PGD and PD.,40,,,
42 - Brendan,When art meets tech: The role of augmented reality in enhancing museum experiences and purchase intentions,Dynamic Visual & High Presence,https://doi.org/10.1016/j.tourman.2018.03.003,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,,,,,Look,,Single,Overlaid,Museum experiences,"Dynamic Verbal & High Presence: This condition was most effective in enhancing visitor engagement and understanding, as the immersive verbal descriptions provided detailed contextual information and enriched the visitor experience.","Visitor Engagement, Purchase Intentions, & Visitor Satisfaction","Provided an immersive and visually rich experience, leading to higher engagement.",225,,,
,,Dynamic Visual & Low Presence,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,,,,,Look,,Single,Overlaid,Museum experiences,"Dynamic Verbal & High Presence: This condition was most effective in enhancing visitor engagement and understanding, as the immersive verbal descriptions provided detailed contextual information and enriched the visitor experience.","Visitor Engagement, Purchase Intentions, & Visitor Satisfaction","Offered basic visual information, less engaging compared to high presence conditions.",225,,,
,,Dynamic Verbal & High Presence,,Visual,,,Symbolic,Alphanumeric,,,2,Exocentric,,,Persistent,,Position,,,,Look,,Single,Overlaid,Museum experiences,"Dynamic Verbal & High Presence: This condition was most effective in enhancing visitor engagement and understanding, as the immersive verbal descriptions provided detailed contextual information and enriched the visitor experience.","Visitor Engagement, Purchase Intentions, & Visitor Satisfaction","Enhanced understanding and appreciation through detailed narration, leading to higher satisfaction and engagement.",225,,,
,,Dynamic Verbal & Low Presence,,Visual,,,Symbolic,Alphanumeric,,,2,Exocentric,,,Persistent,,Position,,,,Look,,Single,Overlaid,Museum experiences,"Dynamic Verbal & High Presence: This condition was most effective in enhancing visitor engagement and understanding, as the immersive verbal descriptions provided detailed contextual information and enriched the visitor experience.","Visitor Engagement, Purchase Intentions, & Visitor Satisfaction","Provided basic information, less impactful on engagement and satisfaction.",225,,,
43 - Brendan,Stylo and handifact: modulating haptic perception through visualizations for posture training in augmented reality,Stylo,https://doi.org/10.1145/3131277.3132181,Tactile,Force,,Symbolic,,,,3,Proprioceptive - Egocentric,,,Other Agent,,,,,Movement,Gesture,,Single,Emphasized,Posture training,"Handifact: Provided the most intuitive and clear indication of how to adjust posture through visual representation, allowing users to easily understand the needed corrections.","Docking Time, Accuracy, & User Experience","The addition of tactile feedback improved the participants' ability to quickly and accurately adjust their posture, providing an extra layer of feedback beyond visual cues.",12,,,
,,Handifact,,Visual,,,Replica,,,,3,Proprioceptive - Egocentric,,,Other Agent,,,,,Movement,Gesture,,Single,Integrated,Posture training,"Handifact: Provided the most intuitive and clear indication of how to adjust posture through visual representation, allowing users to easily understand the needed corrections.","Docking Time, Accuracy, & User Experience","The visual representation of a hand was highly effective in conveying the necessary force and direction for correction, making it easier for participants to adjust their posture accurately.",12,,,
44 - Brendan,Multisensory Proximity and Transition Cues for Improving Target Awareness in Narrow Field of View Augmented Reality Displays,Audio Proximity,https://doi.org/10.1109/TVCG.2021.3116673,,Auditory,,Symbolic,,,,,Exocentric,,,Context,,,Proximity,,Movement,Select,,Single,Integrated,Augmented Reality environments with limited field of view.,"The Audio-Tactile combination provided the fastest reaction times, especially for transition events. Tactile cues proved highly effective in noisy environments, while audio was robust in indicating proximity.","Reaction Time, Accuracy, & User Preference",Tactile transition cues consistently led to quicker reactions.,10/14,,,
,,Visual Proximity: EdgeRadar,,Visual,,,Symbolic,,,,2,Exocentric,,,Context,Direction,,Proximity,,Movement,Select,,Single,Overlaid,Augmented Reality environments with limited field of view.,"The Audio-Tactile combination provided the fastest reaction times, especially for transition events. Tactile cues proved highly effective in noisy environments, while audio was robust in indicating proximity.","Reaction Time, Accuracy, & User Preference","""Also, more recent and highly efficient out-of-view guidance approaches such as EyeSee360 (which is based on EdgeRadar) involve a high workload and occupy even more display space, especially for devices with a restricted FOV [33]. Therefore, we decided to choose EdgeRadar as visual reference method, as it has been shown to provide good performance for the intended use as proximity feedback while the FOV still remains clutter-free.""",10/14,,,
,,Audio Transition,,,Auditory,,Symbolic,,,,,Exocentric,,,Context,,,Proximity,,Movement,Discover,,Single,Integrated,Augmented Reality environments with limited field of view.,"The Audio-Tactile combination provided the fastest reaction times, especially for transition events. Tactile cues proved highly effective in noisy environments, while audio was robust in indicating proximity.","Reaction Time, Accuracy, & User Preference",Tactile transition cues consistently led to quicker reactions.,10/14,,,
,,Visual Transition,,Visual,,,Symbolic,,,,2,Exocentric,,,Context,,,Proximity,,Movement,Discover,,Single,Overlaid,Augmented Reality environments with limited field of view.,"The Audio-Tactile combination provided the fastest reaction times, especially for transition events. Tactile cues proved highly effective in noisy environments, while audio was robust in indicating proximity.","Reaction Time, Accuracy, & User Preference",Performance dropped for visual cues under high noise levels compared to tactile and audio cues.,10/14,,,
,,Tactile Transition,,,,Tactile,Symbolic,,,,2,Exocentric,,,Context,,,Proximity,,Movement,Discover,,Single,Integrated,Augmented Reality environments with limited field of view.,"The Audio-Tactile combination provided the fastest reaction times, especially for transition events. Tactile cues proved highly effective in noisy environments, while audio was robust in indicating proximity.","Reaction Time, Accuracy, & User Preference",Tactile transition cues consistently led to quicker reactions.,10/14,,,
